Arquivo: ENERGISAMT-2Via-Matricula-0001073451-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;1.313,00;1,076110;1.412,95;53,90;1.412,95;17;240,20;0,852130
Energia Atv Injetada GDI mUC 1/2025 mPT KWH;;;;1;202;5;23,00;
Energia Atv Injetada GDI mUC 2/2025 mPT KWH;;;;2;202;5;107,00;
Energia Atv Injetada GDI mUC 8/2025 mPT KWH;;;;8;202;5;1.153,00;
Adic. B.;;;;0,35;0,02;0,35;17;0,05
Adic. B.;;;;2,39;0,10;2,39;17;0,41
""
Arquivo: ENERGISAMT-2Via-Matricula-0001073455-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;1.572,00;1,076110;1.691,66;64,53;1.691,66;17;287,58;0,852130
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;239,00;
Energia Atv Injetada GDI mUC 12/2024 mPT KWH;;;;12;202;4;631,00;
Energia Atv Injetada GDI mUC 8/2025 mPT KWH;;;;8;202;5;672,00;
Adic. B.;;;;2,40;0,09;2,40;17;0,41
Adic. B.;;;;0,34;0,02;0,34;17;0,05
DIF.CREDITO A DEVOLVER;;;;1.053,99;;;;
""
Arquivo: ENERGISAMT-2Via-Matricula-0001171772-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;1.205,00;1,076110;1.296,73;49,46;1.296,73;17;220,44;0,852130
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;695,00;
Energia Atv Injetada GDI mUC 8/2025 mPT KWH;;;;8;202;5;480,00;
Adic. B.;;;;0,34;0,01;0,34;17;0,06
Adic. B.;;;;2,39;0,10;2,39;17;0,40
DIF.CREDITO A DEVOLVER;;;;1.316,78;;;;
""
Arquivo: ENERGISAMT-2Via-Matricula-0001863051-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;458,00;1,076110;492,86;18,80;492,86;17;83,79;0,852130
Energia Atv Injetada GDI mUC 8/2025 mPT KWH;;;;8;202;5;428,00;
Adic. B.;;;;0,34;0,02;0,34;17;0,06
Adic. B.;;;;2,39;0,08;2,39;17;0,40
""
Arquivo: ENERGISAMT-2Via-Matricula-0002013376-08-2025.PDF
descricao;quant;preco unit com tributos;valor;pis/confins;base calc icms;porcent icms;icms;tarifa unit
Consumo em kWh KWH;3.079,00;1,076110;3.313,38;126,40;3.313,38;17;563,27;0,852130
Energia Atv Injetada GDI mUC 11/2024 mPT KWH;;;;11;202;4;2.289,00;
